STN---,WBAN , YEARMODA,   TEMP,  ,   DEWP,  ,  SLP  ,  ,  STP  ,  , VISIB,  ,  WDSP,  , MXSPD,  GUST,   MAX  ,  MIN  ,PRCP  ,SNDP , FRSHTT,
526520,99999, 19600325,   35.5, 4,   17.5, 4, 9999.9, 0,  953.0, 4,   5.1, 4,   5.2, 4,  19.0, 999.9,   46.0 ,  28.0 , 0.00I,999.9, 000000,
526520,99999, 19600531,   62.8, 4,   38.8, 4, 1005.7, 4,  947.5, 4,   8.1, 4,   5.0, 4,   8.0, 999.9,   77.0 ,  45.0 , 0.00I,999.9, 000000,
526520,99999, 19600607,   68.3, 4,   41.3, 4, 9999.9, 0,  945.5, 4,  31.8, 4,   2.5, 4,   6.0, 999.9,   86.0 ,  50.0 , 0.00I,999.9, 000000,
526520,99999, 19600620,   63.0, 4,   38.0, 4, 1003.4, 4,  947.2, 4,  30.3, 4,   4.0, 4,   6.0, 999.9,   81.0 ,  48.0 , 0.00I,999.9, 000000,
526520,99999, 19600630,   69.3, 4,   53.7, 4, 1003.8, 4, 9999.9, 0,  24.9, 4,   2.5, 4,   4.1, 999.9,   79.0 ,  61.0 , 0.04B,999.9, 010000,
526520,99999, 19600704,   73.8, 4,   49.3, 4, 9999.9, 0,  944.8, 4,  13.4, 4,   9.2, 4,  19.0, 999.9,   90.0 ,  64.0 , 0.04B,999.9, 000000,
526520,99999, 19600718,   64.0, 4,   49.7, 4, 1002.0, 4, 9999.9, 0,   9.3, 4,  12.5, 4,  15.9, 999.9,   72.0 ,  55.0*, 0.02A,999.9, 010000,
526520,99999, 19600724,   74.8, 4,   53.5, 4, 1004.0, 4,  948.2, 4,  39.6, 4,   2.5, 4,   8.0, 999.9,   86.0 ,  57.0 , 0.00I,999.9, 000000,
526520,99999, 19600805,   72.0, 4,   57.7, 4,  999.6, 4, 9999.9, 0,  12.4, 4,   6.5, 4,  14.0, 999.9,   84.0 ,  63.0*, 0.14B,999.9, 010010,
526520,99999, 19610803,   78.5, 6,   49.7, 6,  991.8, 6,  940.2, 6,  17.0, 6,   3.7, 6,  12.0, 999.9,   93.0 ,  68.0*, 0.00I,999.9, 000000,
526520,99999, 19610813,   73.5, 4,   51.0, 4, 1003.6, 4,  947.8, 4,  41.9, 4,   5.5, 4,   8.0, 999.9,   84.0*,  61.0*, 0.00I,999.9, 000000,
526520,99999, 19610820,   74.3, 4,   52.3, 4,  998.6, 4,  943.8, 4,  21.7, 4,   1.5, 4,   4.1, 999.9,   81.0*,  70.0*, 0.00I,999.9, 000000,
526520,99999, 19610826,   75.0, 4,   52.2, 4, 1002.2, 4,  946.8, 4,  19.4, 4,   7.5, 4,  12.0, 999.9,   82.0*,  66.0*, 0.00I,999.9, 000000,
526520,99999, 19610829,   68.2, 4,   44.0, 4, 1008.0, 4, 9999.9, 0,  37.3, 4,   3.0, 4,   8.0, 999.9,   79.0*,  52.0*, 0.00I,999.9, 000000,
526520,99999, 19610830,   69.3, 4,   38.0, 4, 1006.5, 4,  949.0, 4,  39.6, 4,   1.5, 4,   4.1, 999.9,   81.0*,  48.0*, 0.00I,999.9, 000000,
526520,99999, 19610831,   72.0, 4,   35.5, 4, 1002.4, 4,  946.5, 4,  38.1, 4,   4.0, 4,   9.9, 999.9,   84.0*,  54.0*, 0.00I,999.9, 000000,
526520,99999, 19610902,   68.8, 4,   38.3, 4, 1002.7, 4,  946.8, 4,  17.1, 4,   7.0, 4,  15.9, 999.9,   77.0*,  52.0*, 0.00I,999.9, 000000,
526520,99999, 19610904,   74.5, 4,   35.5, 4,  996.4, 4,  941.5, 4,  34.2, 4,   4.0, 4,   8.0, 999.9,   90.0*,  57.0*, 0.00I,999.9, 000000,
526520,99999, 19610905,   64.8, 4,   38.5, 4, 1008.2, 4,  950.2, 4,  15.1, 4,  11.5, 4,  15.9, 999.9,   70.0*,  55.0*, 0.02A,999.9, 000000,
526520,99999, 19610908,   65.8, 4,   35.5, 4, 1009.6, 4,  950.5, 4,  24.1, 4,   4.0, 4,   6.0, 999.9,   79.0*,  48.0*, 0.00I,999.9, 000000,
526520,99999, 19610909,   70.7, 4,   41.0, 4, 1005.5, 4,  948.2, 4,  20.2, 4,   4.5, 4,   9.9, 999.9,   81.0*,  57.0*,99.99 ,999.9, 010000,
526520,99999, 19610910,   60.5, 4,   51.5, 4, 1010.8, 4,  952.0, 4,  22.5, 4,   3.0, 4,   9.9, 999.9,   68.0*,  54.0*,99.99 ,999.9, 010000,
526520,99999, 19610917,   64.5, 4,   39.7, 4, 1003.2, 4,  945.5, 4,  31.8, 4,   3.5, 4,   6.0, 999.9,   79.0*,  46.0*, 0.00I,999.9, 000000,
526520,99999, 19610918,   62.0, 4,   39.2, 4, 1004.9, 4,  945.8, 4,  24.9, 4,   5.5, 4,  14.0, 999.9,   73.0*,  45.0*, 0.02A,999.9, 000000,
