time,GCFFracSC,GCF_SCTile,GC_GCF_SCTile,GC_SCTile
730540,0,0,0,0
730541,77.59946237,87.99861256,87.99861256,87.99861256
730542,71.40825529,83.37669095,83.44606313,52.62747138
730543,65.23239681,74.11550468,74.13284773,28.08706209
730544,57.86099549,65.20985085,65.21852237,15.20117933
730545,49.37304891,55.42837322,55.42837322,13.3975026
730546,49.39784946,55.02948318,55.02948318,0.676378772
730548,48.85778703,54.05827263,54.05827263,0.520291363
730549,49.73629899,56.05272286,56.00069372,10.73534513
730550,56.69138051,61.28165106,58.19458897,35.93479015
730551,47.66302463,50.91918141,50.94519598,23.64724246
730552,38.22311828,39.2733264,39.55081512,17.45577523
730553,37.02037808,36.68921263,36.68921263,19.84044398
730554,37.02037808,36.68921263,36.68921263,7.986472425
730555,37.31815817,37.21817551,37.21817551,12.37426292
730556,35.14906348,35.60527229,35.61394381,8.081859174
730557,35.09191814,35.27575442,35.27575442,3.15643427
730558,34.91380506,34.9982657,34.9982657,0.026014568
730559,37.71418661,38.56226153,38.56226153,5.983350676
730560,52.94224766,55.33298647,55.33298647,52.7488727
730561,40.16718696,41.36316337,41.81408255,20.06590357
730562,38.43973292,39.04786681,38.84842178,12.97259799
730563,33.04717308,31.1827957,31.19146722,9.079084287
730564,32.41397849,30.6885189,30.66250434,0.633021159
730565,32.40305238,30.64516129,30.64516129,0
730568,32.40305238,30.64516129,30.64516129,0
730569,32.40305238,30.64516129,30.64516129,0
730570,29.89290669,28.63336802,28.63336802,0.086715227
730571,21.11481096,20.62955255,20.62088103,17.18695803
730572,21.10952133,20.56018037,20.56018037,7.604925425
730573,9.590877558,9.972251127,9.972251127,9.486645855
730574,6.857353451,6.607700312,5.671175858,5.653832813
730575,2.603451266,2.219909816,2.219909816,2.193895248
730576,2.603451266,2.219909816,2.219909816,0
730577,2.637270205,2.219909816,2.219909816,0
730578,2.746271245,2.219909816,2.219909816,0
730579,2.746271245,2.219909816,2.219909816,0
730580,52.86932015,53.15643427,52.1765522,51.05792577
730581,46.7562435,46.62677766,46.62677766,6.703087062
730582,40.27956989,39.86298994,39.85431842,13.30211585
730583,30.92785293,30.341658,30.1161984,27.85293097
730584,25.06867846,23.5865418,24.30627818,13.7010059
730585,22.79136316,21.3753035,21.32327437,11.42906694
730586,16.65877558,15.15782171,16.05098855,8.211932015
730587,17.08723552,15.97294485,15.93825876,10.77003122
730588,16.88180715,15.54804024,15.56538328,0.589663545
730589,24.74323621,24.4276795,24.4276795,9.235171696
