time,GCFFracSC,GCF_SCTile,GC_GCF_SCTile,GC_SCTile
730540,0,0,0,0
730541,45.93182882,50.25283266,50.25283266,50.25283266
730542,45.61920592,49.0073977,49.01676187,12.0282798
730543,43.84005993,46.75999625,46.75531417,4.480756625
730544,38.86810563,38.87536286,38.83322408,3.666073602
730545,34.76196273,34.38055998,34.36651372,1.844742017
730546,34.26715985,33.16789962,33.16789962,1.203296189
730548,33.04677404,31.75390954,31.75390954,0.360520648
730549,33.10267815,31.83350501,31.82414084,0.154508849
730550,26.50365203,24.07528795,24.07528795,7.313418859
730551,23.99480288,20.82592003,20.78378125,5.49676936
730552,21.29028935,18.54574398,18.61129319,4.424571589
730553,20.64893717,17.73574305,17.73574305,4.925554827
730554,20.64893717,17.73574305,17.73574305,3.511564753
730555,42.60820302,41.83444143,41.83444143,38.2807379
730556,37.62604176,37.33495646,37.37241315,9.640415769
730557,36.4057496,35.87414552,35.86478135,1.371851297
730558,32.26116678,30.66298343,30.6723476,2.687517558
730559,42.5464463,43.73536848,41.86721603,18.26013672
730560,44.24669913,43.77750726,43.77750726,28.34535069
730561,33.94152074,31.19674127,31.37934264,11.07781627
730562,27.83317726,25.71870025,25.25517371,7.720760371
730563,23.04967694,19.58048506,19.73499391,3.609888566
730564,20.32479633,17.39395074,17.32840154,3.104223242
730565,21.52753067,16.8601929,16.8601929,1.292255829
730568,21.52753067,16.8601929,16.8601929,0
730569,21.43932016,16.85551082,16.85551082,0
730570,13.75348815,10.15544527,10.15544527,1.94306583
730571,11.85270156,9.130068358,7.945500515,4.565034179
730572,8.849564566,5.304803821,5.281393389,3.333645472
730573,3.528326622,3.319599213,3.104223242,3.02930986
730574,2.881824141,2.158441802,1.966476262,1.929019571
730575,1.425554827,1.034741081,1.034741081,1.001966476
730576,1.516995973,1.034741081,1.034741081,0
730577,1.617707651,1.006648563,1.006648563,0
730578,1.757233823,1.020694822,1.020694822,0.032774604
730579,1.757187003,1.020694822,1.020694822,0
730580,38.86599869,39.52149078,39.4091207,39.06264632
730581,33.9881075,33.95449012,33.93576178,7.570933608
730582,27.80742579,27.277835,27.30592752,7.54284109
730583,21.48927802,20.10487873,20.09551456,13.89643225
730584,21.20662047,19.73499391,19.76776852,3.076130724
730585,17.54120236,15.71308175,15.71308175,5.421855979
730586,7.669397884,5.117520367,5.529543965,3.956362955
730587,7.607968911,5.314167993,5.131566626,2.509598277
730588,7.174782283,4.836595187,4.836595187,0.05150295
730589,7.213409495,4.869369791,4.869369791,0.042138777
730590,8.254424572,5.005150295,5.005150295,0.650810001
730591,2.68765802,2.626650435,2.626650435,2.593875831
730592,2.08732091,1.376533383,1.259481225,1.100290289
730593,2.683678247,1.240752879,1.240752879,0.018728345
730594,2.687892125,1.236070793,1.236070793,0
730595,3.129553329,1.184567843,1.184567843,0.159190935
730596,2.174501358,1.114336548,0.90832475,0.814683023
730597,1.417735743,0.444798202,0.412023598,0.234104317
730598,1.151980523,0.341792303,0.341792303,0.084277554
730599,1.283593969,0.341792303,0.341792303,0
730600,1.364032213,0.337110216,0.337110216,0
730601,1.675297312,0.739769641,0.739769641,0.636763742
730605,1.45008896,1.175203671,1.175203671,1.175203671
730606,1.646502482,1.170521584,1.170521584,0.032774604
730607,1.558291975,1.090926117,1.090926117,0.014046259
730608,7.734057496,7.753534975,7.650529076,7.636482817
730609,0.571074071,0.482254893,0.482254893,0.426069857
730610,0.572900084,0.482254893,0.482254893,0
730611,0.715048225,0.454162375,0.454162375,0
730612,0.715048225,0.454162375,0.454162375,0
730613,0.719589849,0.454162375,0.454162375,0
730614,39.08085963,41.16022099,40.97761963,40.94952711
730615,31.37241315,32.0441989,32.0441989,1.348440865
730616,31.47022193,32.0441989,32.0441989,0.28092518
730617,7.936323626,7.26191591,7.26191591,2.266129787
730618,2.825124075,2.383181946,2.41595655,0.126416331
730619,2.027624309,1.835377844,1.835377844,0.145144676
730620,0.757467928,0.430751943,0.430751943,0.060867122
730621,1.974295346,1.011330649,0.697630864,0.299653526
730622,1.837578425,1.016012735,0.99728439,0.57589662
