,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
1,4.85,6.85,3.22,3.99,6.12,3.79,4.47,4.53,4.79,5.86,4.61
2,4.88,6.85,3.21,3.81,6,3.73,4.55,4.73,4.84,5.65,4.12
3,4.96,6.83,3.14,4.03,5.92,3.67,4.51,4.6,4.67,5.89,3.48
4,5.03,6.52,3.12,4.09,5.87,3.63,4.42,4.86,4.67,6.14,3.29
5,5.04,6.49,3.12,4.15,5.6,3.85,4.45,4.72,4.64,6.32,3.45
6,5.04,6.49,3.19,3.82,5.69,3.74,4.48,4.45,4.64,5.93,3.45
7,4.97,6.49,3.2,3.61,5.76,3.75,4.21,4.67,4.61,5.89,3.45
8,4.96,6.49,3.2,3.64,5.78,3.73,4.15,4.48,4.58,5.89,3.45
9,4.96,6.49,3.2,3.67,5.83,3.66,4.48,4.48,4.57,6.1,3.45
10,4.96,6.49,3.25,3.7,5.84,3.7,4.43,4.41,4.55,6.35,3.47
11,4.92,6.49,3.24,3.66,5.69,3.75,4.27,4.34,4.47,6.35,3.5
12,4.88,6.49,3.23,3.77,5.78,3.7,4.16,4.3,4.44,6.3,3.64
13,4.92,6.49,3.23,3.78,5.73,3.71,4.06,4.18,4.44,5.54,3.81
14,4.93,6.47,3.23,3.62,5.69,3.74,4.28,4,4.47,5.45,3.57
15,4.89,6.17,3.23,3.66,5.64,3.73,4.44,4.17,4.45,5.45,3.21
16,4.89,6.14,3.23,3.53,5.71,3.76,4.46,4.33,4.46,5.45,3.12
17,4.89,6.14,3.16,3.53,5.73,3.71,4.51,4.15,4.48,5.45,3.26
18,4.86,6.14,3.15,3.61,5.67,3.73,4.61,4.1,4.44,5.45,3.36
19,4.82,6.14,3.15,3.58,5.66,3.77,4.69,3.96,4.44,5.45,3.28
20,4.75,6.14,3.14,3.51,5.47,3.78,4.76,4.07,4.44,5.45,3.52
21,4.73,6.14,3.14,3.08,5.6,3.77,4.75,3.95,4.37,5.45,3.91
22,4.71,6.14,3.44,2.95,5.75,3.73,4.57,3.89,4.28,5.45,4.04
23,4.71,6.14,3.5,2.96,5.52,3.69,4.62,3.89,4.3,5.25,4.36
24,4.71,6.14,3.47,3.05,5.59,3.65,4.62,3.96,4.31,4.58,4.03
25,4.7,6.14,3.56,3.06,5.83,3.68,4.66,4.2,4.3,4.45,3.65
26,4.61,6.12,3.57,3.09,5.74,3.81,4.58,3.93,4.27,4.66,3.65
27,4.6,5.82,3.51,3.13,5.8,3.57,4.61,3.86,4.26,4.66,3.66
28,4.56,5.79,3.5,3.13,4.55,3.75,4.68,3.9,4.28,4.66,3.74
29,4.52,5.79,3.5,3.04,4.08,3.77,4.69,3.93,4.3,4.66,3.66
30,4.52,5.79,3.45,3,4.12,3.81,4.69,3.96,4.28,4.68,3.65
31,4.52,5.79,3.44,3.03,3.92,3.69,4.66,4.15,4.28,5.2,3.65
32,4.52,5.79,3.47,3.01,4.09,3.72,4.74,4.17,4.22,5.27,3.65
33,4.52,5.79,3.5,3.05,4.07,3.81,4.78,4.18,4.09,5.06,3.41
34,4.52,5.79,3.5,3.06,4.54,3.81,4.78,4.14,3.96,4.97,3.12
35,4.52,5.79,3.44,2.95,4.41,3.85,4.87,4.1,3.92,5.06,3.12
36,4.52,5.79,3.45,3.01,4.37,3.78,5.06,4.17,3.99,5.06,3.14
37,4.52,5.79,3.53,3.05,4.2,3.68,5.26,4.26,4.04,5.06,2.98
38,4.52,5.79,3.26,3.07,4.13,3.73,5.26,4.26,4.02,5.06,2.98
39,4.52,5.79,3.19,3.02,4.15,3.67,5.34,4.26,4.02,5.06,3.05
40,4.52,5.83,3.02,3.08,4.05,3.76,5.37,4.23,4.02,5.06,3.23
41,4.45,6.42,2.97,3.1,4.12,3.76,5.19,4.24,4.02,5.06,3.34
42,4.4,6.49,3.04,3.1,4.11,3.6,5.26,4.33,3.96,4.85,3.34
43,4.4,6.49,3.01,3.1,4.26,3.65,5.31,4.34,3.95,4.32,3.09
44,4.4,6.49,3,3.04,4.27,3.59,5.41,4.38,3.95,4.28,2.8
45,4.33,6.49,3.02,3.04,4.22,3.83,5.22,4.46,3.85,4.28,2.8
46,4.32,6.49,3.04,3.13,4.19,3.86,5.23,4.47,3.95,4.28,2.87
47,4.29,6.49,3.02,3.1,4.04,3.8,5.06,4.47,3.95,4.28,2.92
48,4.22,6.49,3.07,3.11,4.14,3.93,5.07,4.47,3.96,4.28,3.39
49,4.22,6.49,3.15,3.23,4.41,3.86,5.15,4.47,4.01,4.28,3.72
50,4.22,6.49,3.15,3.27,4.49,3.9,5.04,4.53,3.96,4.47,3.72
51,4.22,6.49,3.17,3.27,4.62,3.94,5.26,4.68,3.84,4.32,3.72
52,4.22,6.49,3.17,3.29,4.74,4.01,5.25,4.63,3.78,4.28,3.78
53,4.22,6.49,3.35,3.33,4.52,3.89,5.05,4.64,3.84,4.28,3.9
54,4.28,6.49,3.36,3.31,4.49,3.9,5.33,4.62,3.8,4.28,3.91
55,4.32,6.49,3.23,3.3,4.59,3.96,5.37,4.56,3.78,4.28,3.87
56,4.29,6.65,3.4,3.33,4.54,3.87,5.21,4.53,3.82,4.28,3.95
57,4.25,6.85,3.31,3.37,4.61,4.02,5.12,4.73,3.83,4.28,3.95
58,4.25,6.85,3.52,3.39,4.65,4.33,5.01,4.69,3.87,4.36,4.05
59,4.25,6.85,3.42,3.25,4.6,4.31,5.26,4.75,3.88,4.28,4.17
60,4.25,6.85,3.28,3.33,4.81,3.93,5.25,4.71,3.81,4.28,4.54
61,4.31,6.85,3.34,3.21,4.8,3.96,5.43,4.93,3.77,4.28,4.62
62,4.36,6.68,3.27,3.3,4.97,4.14,5.35,5.32,3.78,4.3,4.57
63,4.44,6.47,3.28,3.08,5.1,3.96,5.16,5.92,3.96,4.62,4.89
64,4.39,6.15,3.27,3.27,4.9,3.92,5.4,5.82,4,4.66,5.14
65,4.37,5.82,3.27,3.25,4.69,4.14,5.13,5.39,4.13,4.84,5.08
66,4.4,5.79,3.26,3.2,4.67,4.38,5.24,5.12,4.43,5.22,5.06
67,4.49,5.79,3.34,3.2,4.87,4.67,5.22,4.9,4.34,5.1,4.74
68,4.47,5.79,3.33,2.36,4.7,5.05,5.21,4.77,4.45,5.06,4.61
69,4.46,5.79,3.98,3.2,4.95,5.69,5.27,4.86,4.77,5.08,4.84
70,4.45,5.95,4.19,3.52,5.6,5.2,5.22,4.85,4.5,5.41,4.77
71,4.48,6.3,4.49,3.36,6.44,5.2,5.18,5.2,4.73,5.45,4.64
72,4.48,6.49,4.38,3.3,5.46,5.58,5.21,5.31,4.97,5.45,4.92
73,4.38,6.49,3.99,3.5,5.44,5.69,4.97,5.34,4.83,5.45,4.71
74,4.45,6.65,3.93,3.65,5.4,6.68,5.16,5.27,5,5.45,4.74
