Day number,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
1,14.5,13.9,14,18.2,15.6,12.4,9.71,36.9,29.5,0
2,14.1,12.9,13.8,14.5,16.7,12,10.4,36.5,44,0
3,14,12.8,12.8,15.7,15.6,12.3,10.1,36.3,26,0
4,14.5,11.3,14.5,17.9,16.5,11.9,7.4,16,23.8,0
5,14.3,11.4,12,18.2,16.9,10.6,9.99,0,27.4,0
6,14.1,11.2,11.6,15.5,15.9,10.7,24.7,0,14.3,0
7,15.1,11.5,12.9,16,16,10.6,30.6,0,14,0
8,15.3,9.8,13,16.4,16,10.8,28.9,0,13.9,0
9,15.2,10.3,13.2,16.3,15.5,10.9,27.8,0,13.9,10.5
10,15.4,10.7,13,16.7,7.71,11.2,30,0,14,29.2
11,16.2,10.9,12.4,16.5,7.77,11.6,28.9,0,14.2,28.4
12,16.5,11.3,9.22,9.95,13.7,11.7,29,0,14,30.1
13,16,10.7,9.35,9.46,13.7,11.8,17.7,0,14.2,32.2
14,15.5,11.3,11.1,8.6,15.4,12.1,6.36,0,13.8,31.2
15,15.6,12,10.5,9.01,34.3,11.9,6.09,5.4,24,31.7
16,15.5,12.7,12.2,8.71,28,12.1,5.52,15.6,35.4,31.1
17,15.7,12.7,14.9,9.24,19.1,11.8,4.24,15.8,15,30.2
18,15.8,13.3,13.7,10.4,15.7,11.7,5.64,16.1,13.8,31.6
19,15.8,14,13.6,11.2,16.6,11.4,4.23,18,13.3,30.8
20,16.1,14,14,12.6,16.8,11.5,5.81,17.1,13.7,30
21,16.4,14,12.8,12.1,15.9,11.4,12.2,17.3,13.8,26.5
22,15.9,14.7,12.1,11.9,16,11.5,13.9,15.9,25,0
23,15.8,15.4,12.9,11.5,17.1,11.4,14,14.1,43.8,0
24,15.7,15.6,13.5,11.6,17.6,11.3,15.5,14,32.9,0
25,15.7,15.3,12.2,11.6,17.6,11.2,20.3,14.6,22.4,0
26,15.9,15.1,10.7,11.5,17.4,11.4,22.8,13,18.9,0
27,16.7,15.1,8.45,10.6,17.6,11.3,21,13.2,12.8,0
28,16.6,15.1,7.87,12.2,17.5,11.4,18.7,14,12.4,0
29,16,15.7,9.87,12,17.1,11.5,20.6,14.8,12.1,0
30,15.4,16,11.3,10.6,16.9,11.5,19.3,14.1,12,0
31,13.7,15.8,12,11.5,16.7,11.4,19.5,12.5,12.1,0
