,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
1,2.2,2.7,4.86,4.67,5.62,4.93,4.19,5.97,7.64,7.35,5.99
2,2.72,2.37,4.59,4.12,5.77,4.31,4.12,5.98,7.64,7.35,5.89
3,2.77,2.29,4.36,3.59,5.96,3.4,4.04,5.98,7.72,7.35,5.81
4,2.66,2.28,4.12,3.22,6.14,3.33,3.96,5.96,7.74,7.35,5.41
5,2.56,2.26,3.85,4.41,6.32,3.43,3.97,5.8,7.74,7.3,5.37
6,2.46,2.24,3.33,4.55,6.5,3.52,4,5.88,7.74,6.9,5.79
7,2.36,2.22,2.73,4.46,6.6,3.63,4.02,5.88,7.66,6.39,6.43
8,2.25,2.2,2.14,4.37,6.68,3.73,3.98,6.07,7.72,6.38,6.73
9,2.15,2.18,1.62,4.28,6.76,3.83,3.94,6.24,7.74,6.46,6.93
10,2.05,2.16,1.63,4.2,6.84,3.89,3.89,6.34,7.66,6.29,7.04
11,1.96,2.14,1.75,4.16,6.89,3.59,3.81,6.54,7.64,6.42,7.4
12,1.94,2.12,1.88,4.13,6.73,3.2,3.45,6.73,7.63,6.79,7.59
13,1.95,2.1,2.01,4.1,6.52,2.81,3.01,6.67,7.37,7.15,7.2
14,1.95,2.11,2.13,4.07,6.31,2.41,2.62,6.66,7.35,7.32,7.02
15,1.95,2.13,2.23,4.04,6.11,2.05,2.6,6.67,7.35,7.5,7.31
16,1.95,2.14,2.33,4.02,5.92,1.89,2.66,6.61,7.22,6.99,7.2
17,1.96,2.16,2.43,4.01,5.9,1.78,2.71,6.77,7.28,7,7.64
18,1.96,2.17,2.52,4,5.92,1.74,2.7,6.92,7.3,7.17,7.98
19,1.96,2.19,2.6,3.99,5.95,2.07,2.68,6.96,7.3,6.96,8.15
20,1.97,2.2,2.48,3.98,5.96,2.46,2.65,7.07,7.26,7.27,8.23
21,1.97,2.22,2.32,3.94,5.96,2.65,2.62,7.25,7.26,7.53,8.16
22,1.98,2.23,2.16,3.66,5.76,2.8,2.6,7.37,7.26,7.4,8.13
23,2,2.24,2,3.32,5.52,2.96,2.58,7.29,7.26,7.55,8.15
24,2.01,2.18,1.87,2.99,5.28,3.1,2.55,7.3,7.26,7.85,8.66
25,2.03,2.11,1.96,2.69,5.04,3.11,2.53,7.4,7.26,7.57,8.74
26,2.04,2.04,2.11,2.75,4.79,3.1,2.51,7.49,7.26,7.69,8.3
27,2.06,1.97,2.26,2.88,4.4,3.08,2.51,7.57,7.26,8.28,7.69
28,2.07,1.9,2.4,3.03,4.08,3.01,2.5,7.95,7.33,8.53,8.1
29,2.09,1.83,2.55,3.17,3.72,2.93,2.49,8,7.12,8.37,8.32
30,2.1,1.76,2.7,3.31,3.36,2.84,2.5,7.65,7.21,8.07,8.46
31,2.11,1.69,2.79,3.45,3.08,2.67,2.7,7.15,7.26,8.02,8.44
32,2.05,1.63,2.87,3.54,3.4,2.53,2.94,6.89,7.26,8.16,8.44
33,1.97,1.66,2.96,3.62,3.84,2.62,3.14,7.28,7.33,8.02,8.54
34,1.88,1.72,3.04,3.7,4.28,2.75,3.18,7.09,7.35,8.02,8.34
35,1.8,1.78,3.13,3.78,4.73,2.88,3.19,7.08,7.35,8.22,7.89
36,1.72,1.84,3.21,3.83,5.11,3.02,3.21,7.36,7.35,8.38,7.56
37,1.64,1.9,3.27,3.6,5.03,3.15,3.22,7.93,7.36,8.39,7.97
38,1.56,1.96,3.33,3.31,4.86,3.32,3.22,8.62,7.62,8.69,8.28
39,1.47,2.02,3.39,3.01,4.68,3.5,3.2,8.52,7.64,8.82,8.24
40,1.39,2.08,3.45,2.72,4.5,3.68,3.18,8.52,7.64,8.83,8.31
41,1.32,2.13,3.51,2.49,4.34,3.85,3.15,8.52,7.64,9.16,8.27
42,1.36,2.19,3.55,2.86,4.31,4.03,3.12,8.52,7.65,9.32,8.14
43,1.43,2.23,3.51,3.38,4.32,4.21,3.09,9.14,7.89,9.08,7.8
44,1.5,2.28,3.45,3.9,4.57,4.4,3.07,9.56,7.93,8.77,7.74
45,1.58,2.33,3.38,4.42,4.86,4.58,3.05,8.64,7.94,8.66,8.3
46,1.65,2.36,3.31,4.89,5.14,4.77,3.03,8.86,8.19,8.85,8.54
47,1.72,2.3,3.25,4.87,5.27,4.94,3.01,8.62,8.22,9.06,8.95
48,1.79,2.21,3.25,4.73,5.36,4.97,2.98,8.62,8.21,9.18,9.03
49,1.86,2.16,3.25,4.58,5.45,4.97,2.96,8.62,8.24,9.32,8.76
50,1.93,2.25,3.26,4.44,5.54,4.97,2.98,8.62,8.33,9.4,8.71
51,2,2.38,3.27,4.29,5.64,4.97,3,8.62,8.33,9.51,8.74
52,2,2.5,3.27,4.14,5.83,4.97,3.02,9.19,8.33,9.43,8.72
53,1.98,2.62,3.28,3.98,6.04,4.97,3.04,8.79,8.41,9.16,8.88
54,1.97,2.75,3.3,3.82,6.25,4.96,3.07,8.83,8.43,9.03,8.93
55,1.95,2.87,3.31,3.66,6.47,4.94,3.16,9.06,8.43,8.85,8.88
56,1.94,2.96,3.33,3.5,6.66,4.93,3.26,8.97,8.43,8.92,9.1
57,1.93,2.81,3.35,3.4,6.64,4.91,3.36,8.97,8.43,8.87,9.2
58,1.91,2.61,3.4,3.31,6.57,4.92,3.46,8.82,8.46,9.1,9.15
59,1.9,2.41,3.44,3.22,6.5,5.05,3.57,8.78,9.02,9.68,9.14
60,1.9,2.22,3.49,3.17,6.43,5.21,3.66,8.33,9.01,9.63,9.25
61,2.03,2.02,3.54,3.43,6.37,5.37,3.74,8.79,8.75,9.68,9.22
62,2.2,1.84,3.59,3.76,6.39,5.52,3.84,8.82,8.89,9.63,9.01
63,2.36,1.91,3.63,4.1,6.43,5.66,3.92,8.96,8.98,9.72,9.03
64,2.53,2.02,3.66,4.43,6.48,5.7,4.01,9.49,9.04,9.8,9.28
65,2.69,2.14,3.68,4.72,6.52,5.72,4.01,9.3,9.02,9.74,9.21
66,2.86,2.26,3.7,4.57,6.57,5.74,4,8.83,9.17,9.76,9.06
67,3.02,2.38,3.73,4.31,6.64,5.74,3.98,8.82,9.22,9.74,9.14
