Day number,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
1,14.5,13.9,14,18.2,15.6,12.4,9.71,36.9,29.5,0,,8.87,13.8,13.9,28.1
2,14.1,12.9,13.8,14.5,16.7,12,10.4,36.5,44,0,,8.07,13.8,14,31.2
3,14,12.8,12.8,15.7,15.6,12.3,10.1,36.3,26,0,,8.07,13.6,13.9,31.2
4,14.5,11.3,14.5,17.9,16.5,11.9,7.4,16,23.8,0,,6.47,13.6,13.9,31.2
5,14.3,11.4,12,18.2,16.9,10.6,9.99,0,27.4,0,,8,14,14,31.2
6,14.1,11.2,11.6,15.5,15.9,10.7,24.7,0,14.3,0,,7.55,14.2,14.7,31
7,15.1,11.5,12.9,16,16,10.6,30.6,0,14,0,,8.22,14.5,15,31.2
8,15.3,9.8,13,16.4,16,10.8,28.9,0,13.9,0,,11.7,14.4,14.2,31.4
9,15.2,10.3,13.2,16.3,15.5,10.9,27.8,0,13.9,10.5,,13.8,11.8,13,29.7
10,15.4,10.7,13,16.7,7.71,11.2,30,0,14,29.2,,11.6,7.18,13,26
11,16.2,10.9,12.4,16.5,7.77,11.6,28.9,0,14.2,28.4,,13.3,6.85,13.4,26
12,16.5,11.3,9.22,9.95,13.7,11.7,29,0,14,30.1,,12.8,6.95,12.2,26.2
13,16,10.7,9.35,9.46,13.7,11.8,17.7,0,14.2,32.2,,11.5,7.15,12.6,26.5
14,15.5,11.3,11.1,8.6,15.4,12.1,6.36,0,13.8,31.2,,9.73,7.39,13,29.4
15,15.6,12,10.5,9.01,34.3,11.9,6.09,5.4,24,31.7,,9.45,7.64,12.9,25.4
16,15.5,12.7,12.2,8.71,28,12.1,5.52,15.6,35.4,31.1,,7.75,7.04,13,24.8
17,15.7,12.7,14.9,9.24,19.1,11.8,4.24,15.8,15,30.2,,8.05,7.35,13.3,8.52
18,15.8,13.3,13.7,10.4,15.7,11.7,5.64,16.1,13.8,31.6,,8.99,7.82,13.5,0
19,15.8,14,13.6,11.2,16.6,11.4,4.23,18,13.3,30.8,,13,7.34,13.4,0
20,16.1,14,14,12.6,16.8,11.5,5.81,17.1,13.7,30,,11.6,7.52,13.3,0
21,16.4,14,12.8,12.1,15.9,11.4,12.2,17.3,13.8,26.5,,8.63,7.6,13.2,0
22,15.9,14.7,12.1,11.9,16,11.5,13.9,15.9,25,0,,8.9,7.5,13.3,0
23,15.8,15.4,12.9,11.5,17.1,11.4,14,14.1,43.8,0,,8.68,7.5,13.4,0
24,15.7,15.6,13.5,11.6,17.6,11.3,15.5,14,32.9,0,,8.45,7.53,13.1,0
25,15.7,15.3,12.2,11.6,17.6,11.2,20.3,14.6,22.4,0,,9.11,7.49,13.1,0
26,15.9,15.1,10.7,11.5,17.4,11.4,22.8,13,18.9,0,,9.88,7.52,13.1,2.6
27,16.7,15.1,8.45,10.6,17.6,11.3,21,13.2,12.8,0,,10.7,7.44,13.5,10
28,16.6,15.1,7.87,12.2,17.5,11.4,18.7,14,12.4,0,,10.7,7.52,13.1,10
29,16,15.7,9.87,12,17.1,11.5,20.6,14.8,12.1,0,,10.2,6.96,13.3,9.73
30,15.4,16,11.3,10.6,16.9,11.5,19.3,14.1,12,0,,10.1,7.97,13.3,9.67
31,13.7,15.8,12,11.5,16.7,11.4,19.5,12.5,12.1,0,,20.7,8.04,13.3,10
32,15.4,15.4,12.4,12.5,15.8,11.5,20.6,13.7,11.5,0,,30.9,8.3,13.3,10
33,15.9,15.7,11.5,12.7,17.1,11.2,22.9,14.4,12.1,0,,31.2,7.92,13.1,10
34,16.3,16.5,11.6,13.1,17.6,11.3,21.2,15,11.8,0,,31.4,7.81,13.1,10
35,16.1,16.9,11.4,12.7,17.7,11.4,19.2,15.7,11.9,0,,31.3,11.3,13.4,10
36,16.3,16.3,11.5,12.1,17.7,11.5,22,15.2,12.2,15.6,,31.2,14.4,13.4,9.02
37,16.1,16.2,11.9,12.1,17.9,11.6,23,17,12,29.6,,31.2,14.2,13.1,5.48
38,15.8,15.5,12,10.8,18,12,20,16,11.8,28.3,,32.4,14.1,13.5,6.48
39,15.7,15.7,12.1,11.3,17.7,12.4,19.5,15.9,12.1,28.1,,36.6,14.2,13.4,6.41
40,16,15.2,12.1,11.7,16.7,13.3,18.8,16.6,11.7,29.5,,36.8,18.5,12.9,7.23
41,16.1,16.2,11.6,12.4,15.6,13.6,19.1,16,12.5,32.2,,35.2,29.7,12.9,11.8
42,16,19.6,12.2,12.1,15.4,13.2,20.4,16,12.3,31.8,,35.2,31.1,12.9,15.9
43,15.9,18.4,12.3,11.3,15.3,13.2,19.7,15.1,12.3,31.4,,35.1,31.1,13,18
44,15.9,19,12.3,14.5,14.5,14.2,21,15.8,12.2,31.3,,34.5,31.5,13.2,18
45,15.8,18,13.8,13.6,14.7,13.9,20.8,15.8,12.3,31.2,,34.8,31.1,12.9,18
