,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
1,2.2,2.7,4.86,4.67,5.62,4.93,4.19,5.97,7.64,7.35,5.99,6.19,6.22,7.46,7.59
2,2.72,2.37,4.59,4.12,5.77,4.31,4.12,5.98,7.64,7.35,5.89,6.52,6.28,7.54,7.18
3,2.77,2.29,4.36,3.59,5.96,3.4,4.04,5.98,7.72,7.35,5.81,6.56,6.28,7.61,6.92
4,2.66,2.28,4.12,3.22,6.14,3.33,3.96,5.96,7.74,7.35,5.41,6.56,6.28,7.48,6.76
5,2.56,2.26,3.85,4.41,6.32,3.43,3.97,5.8,7.74,7.3,5.37,6.12,6.27,7.62,6.74
6,2.46,2.24,3.33,4.55,6.5,3.52,4,5.88,7.74,6.9,5.79,6.21,6.01,7.64,6.7
7,2.36,2.22,2.73,4.46,6.6,3.63,4.02,5.88,7.66,6.39,6.43,6.28,5.78,7.56,6.52
8,2.25,2.2,2.14,4.37,6.68,3.73,3.98,6.07,7.72,6.38,6.73,6.43,5.71,7.37,6.28
9,2.15,2.18,1.62,4.28,6.76,3.83,3.94,6.24,7.74,6.46,6.93,6.34,5.68,7.42,6.25
10,2.05,2.16,1.63,4.2,6.84,3.89,3.89,6.34,7.66,6.29,7.04,6.35,5.68,7.36,6.25
11,1.96,2.14,1.75,4.16,6.89,3.59,3.81,6.54,7.64,6.42,7.4,6.62,5.68,7.37,6.25
12,1.94,2.12,1.88,4.13,6.73,3.2,3.45,6.73,7.63,6.79,7.59,6.74,5.68,7.25,6.22
13,1.95,2.1,2.01,4.1,6.52,2.81,3.01,6.67,7.37,7.15,7.2,6.99,5.76,7.42,6.21
14,1.95,2.11,2.13,4.07,6.31,2.41,2.62,6.66,7.35,7.32,7.02,7.08,5.78,7.82,6.1
15,1.95,2.13,2.23,4.04,6.11,2.05,2.6,6.67,7.35,7.5,7.31,7.06,5.78,7.94,6.08
16,1.95,2.14,2.33,4.02,5.92,1.89,2.66,6.61,7.22,6.99,7.2,7.06,5.86,8.46,6.07
17,1.96,2.16,2.43,4.01,5.9,1.78,2.71,6.77,7.28,7,7.64,6.98,5.96,8.3,5.88
18,1.96,2.17,2.52,4,5.92,1.74,2.7,6.92,7.3,7.17,7.98,6.95,5.83,8.44,5.86
19,1.96,2.19,2.6,3.99,5.95,2.07,2.68,6.96,7.3,6.96,8.15,6.94,5.78,8.3,5.86
20,1.97,2.2,2.48,3.98,5.96,2.46,2.65,7.07,7.26,7.27,8.23,7.06,5.72,8.19,5.86
21,1.97,2.22,2.32,3.94,5.96,2.65,2.62,7.25,7.26,7.53,8.16,6.97,5.97,8.38,5.85
22,1.98,2.23,2.16,3.66,5.76,2.8,2.6,7.37,7.26,7.4,8.13,7.06,6.32,8.79,5.55
23,2,2.24,2,3.32,5.52,2.96,2.58,7.29,7.26,7.55,8.15,7.36,6.28,8.93,5.5
24,2.01,2.18,1.87,2.99,5.28,3.1,2.55,7.3,7.26,7.85,8.66,6.97,6.27,8.8,5.26
25,2.03,2.11,1.96,2.69,5.04,3.11,2.53,7.4,7.26,7.57,8.74,6.86,6.18,8.79,5.23
26,2.04,2.04,2.11,2.75,4.79,3.1,2.51,7.49,7.26,7.69,8.3,6.94,6.3,8.41,5.76
27,2.06,1.97,2.26,2.88,4.4,3.08,2.51,7.57,7.26,8.28,7.69,6.98,6.89,8.1,6.59
28,2.07,1.9,2.4,3.03,4.08,3.01,2.5,7.95,7.33,8.53,8.1,6.86,6.96,7.85,6.86
29,2.09,1.83,2.55,3.17,3.72,2.93,2.49,8,7.12,8.37,8.32,6.86,6.96,7.71,7.13
30,2.1,1.76,2.7,3.31,3.36,2.84,2.5,7.65,7.21,8.07,8.46,6.87,7.03,7.63,7.24
31,2.11,1.69,2.79,3.45,3.08,2.67,2.7,7.15,7.26,8.02,8.44,6.96,7.06,7.78,7.25
32,2.05,1.63,2.87,3.54,3.4,2.53,2.94,6.89,7.26,8.16,8.44,6.88,6.74,8.05,7.25
33,1.97,1.66,2.96,3.62,3.84,2.62,3.14,7.28,7.33,8.02,8.54,6.93,6.48,7.94,7.36
34,1.88,1.72,3.04,3.7,4.28,2.75,3.18,7.09,7.35,8.02,8.34,6.64,6.62,7.77,7.14
35,1.8,1.78,3.13,3.78,4.73,2.88,3.19,7.08,7.35,8.22,7.89,6.85,6.47,7.91,7.01
36,1.72,1.84,3.21,3.83,5.11,3.02,3.21,7.36,7.35,8.38,7.56,7.2,6.86,7.89,7
37,1.64,1.9,3.27,3.6,5.03,3.15,3.22,7.93,7.36,8.39,7.97,7.31,6.86,7.77,7
38,1.56,1.96,3.33,3.31,4.86,3.32,3.22,8.62,7.62,8.69,8.28,7.29,6.85,7.96,7
39,1.47,2.02,3.39,3.01,4.68,3.5,3.2,8.52,7.64,8.82,8.24,7.56,6.5,8.24,7.05
40,1.39,2.08,3.45,2.72,4.5,3.68,3.18,8.52,7.64,8.83,8.31,7.18,6.27,8.33,7
41,1.32,2.13,3.51,2.49,4.34,3.85,3.15,8.52,7.64,9.16,8.27,6.97,6.35,8.37,7
42,1.36,2.19,3.55,2.86,4.31,4.03,3.12,8.52,7.65,9.32,8.14,6.91,6.94,8.34,7.12
43,1.43,2.23,3.51,3.38,4.32,4.21,3.09,9.14,7.89,9.08,7.8,6.95,6.96,8.24,7.17
44,1.5,2.28,3.45,3.9,4.57,4.4,3.07,9.56,7.93,8.77,7.74,7.03,7.06,8.32,7.19
45,1.58,2.33,3.38,4.42,4.86,4.58,3.05,8.64,7.94,8.66,8.3,7.05,7.31,8.15,7.19
46,1.65,2.36,3.31,4.89,5.14,4.77,3.03,8.86,8.19,8.85,8.54,6.88,7.27,7.87,7.09
47,1.72,2.3,3.25,4.87,5.27,4.94,3.01,8.62,8.22,9.06,8.95,6.84,7.25,7.8,7.14
48,1.79,2.21,3.25,4.73,5.36,4.97,2.98,8.62,8.21,9.18,9.03,7.05,7.25,7.7,7.06
49,1.86,2.16,3.25,4.58,5.45,4.97,2.96,8.62,8.24,9.32,8.76,7.1,7.33,7.64,6.89
50,1.93,2.25,3.26,4.44,5.54,4.97,2.98,8.62,8.33,9.4,8.71,7.22,7.35,7.64,7.11
51,2,2.38,3.27,4.29,5.64,4.97,3,8.62,8.33,9.51,8.74,7.08,7.36,7.64,7.2
52,2,2.5,3.27,4.14,5.83,4.97,3.02,9.19,8.33,9.43,8.72,7.68,7.45,7.72,7.29
53,1.98,2.62,3.28,3.98,6.04,4.97,3.04,8.79,8.41,9.16,8.88,7.96,7.45,7.84,7.51
54,1.97,2.75,3.3,3.82,6.25,4.96,3.07,8.83,8.43,9.03,8.93,7.94,7.45,7.84,7.61
55,1.95,2.87,3.31,3.66,6.47,4.94,3.16,9.06,8.43,8.85,8.88,7.94,7.45,7.85,7.62
56,1.94,2.96,3.33,3.5,6.66,4.93,3.26,8.97,8.43,8.92,9.1,8.04,7.45,8.19,7.63
57,1.93,2.81,3.35,3.4,6.64,4.91,3.36,8.97,8.43,8.87,9.2,8.28,7.45,8.39,7.66
58,1.91,2.61,3.4,3.31,6.57,4.92,3.46,8.82,8.46,9.1,9.15,8.15,7.45,8.62,7.65
59,1.9,2.41,3.44,3.22,6.5,5.05,3.57,8.78,9.02,9.68,9.14,8.11,7.45,8.62,7.68
60,1.9,2.22,3.49,3.17,6.43,5.21,3.66,8.33,9.01,9.63,9.25,8.17,7.45,8.62,7.65
61,2.03,2.02,3.54,3.43,6.37,5.37,3.74,8.79,8.75,9.68,9.22,8.16,7.45,8.62,7.64
62,2.2,1.84,3.59,3.76,6.39,5.52,3.84,8.82,8.89,9.63,9.01,8.25,7.46,8.62,7.63
63,2.36,1.91,3.63,4.1,6.43,5.66,3.92,8.96,8.98,9.72,9.03,8.22,7.95,8.62,7.4
64,2.53,2.02,3.66,4.43,6.48,5.7,4.01,9.49,9.04,9.8,9.28,8.29,8.04,8.62,7.37
65,2.69,2.14,3.68,4.72,6.52,5.72,4.01,9.3,9.02,9.74,9.21,8.35,8.04,8.62,7.49
66,2.86,2.26,3.7,4.57,6.57,5.74,4,8.83,9.17,9.76,9.06,8.38,8.04,8.63,7.5
67,3.02,2.38,3.73,4.31,6.64,5.74,3.98,8.82,9.22,9.74,9.14,8.24,8.05,8.95,7.64
68,3.19,2.49,3.75,4.05,6.71,5.6,3.97,8.71,9.28,9.74,9.26,8.19,8.22,8.78,7.84
69,3.37,2.5,3.84,3.86,6.79,5.42,3.97,8.92,9.21,9.52,9.4,8.1,8.04,8.82,8
70,3.67,2.48,4.29,4.38,6.87,5.25,4.08,9.7,9.31,9.22,9.35,8.94,8.04,8.82,8
71,4,2.46,4.77,5.08,6.97,5.1,4.21,9.71,9.34,8.97,9.35,9.16,8.04,8.98,8.05
72,4.33,2.45,5.26,5.77,7.3,5.21,4.35,8.6,9.41,8.84,9.52,9.23,8.05,9.22,8.38
73,4.66,2.43,5.74,6.46,7.69,5.37,4.48,8.07,9.43,9.27,9.43,9.15,8.23,9.41,8.49
74,4.99,2.41,6.23,7.09,8.08,5.54,4.59,9.19,9.49,9.64,9.47,9.12,8.56,9.42,8.63
75,5.32,2.4,6.73,7.11,8.47,5.7,4.54,9.8,9.65,9.8,9.55,8.35,9.02,10.2,8.67
76,5.65,2.44,7.29,6.98,8.9,5.87,4.45,9.06,9.45,9.96,9.51,8.24,9.02,10.4,8.88
77,5.98,2.49,7.85,6.84,9.74,6.05,4.36,8.45,10,9.99,9.72,8.27,9.02,9.96,9.33
78,6.31,2.54,8.42,6.71,10.7,6.24,4.27,9.31,10.2,10.2,9.68,8.24,9.02,10,9.92
79,6.64,2.59,8.98,6.59,11.6,6.43,4.22,9.32,10.7,10.2,10.1,8.33,9.18,10,11
80,6.95,2.64,9.54,6.73,12.6,6.62,4.46,9.78,10.3,10.5,10.7,8.39,9.41,10.1,12.6
81,7.13,2.68,10.1,6.95,13.4,6.8,4.74,10.5,8.8,10.8,11.1,8.36,9.41,9.88,12.7
82,7.28,2.61,10.7,7.16,13,6.85,5.03,10.5,9.66,10.9,10.6,8.71,9.41,10.1,12.6
83,7.42,2.52,11.1,7.37,12.4,6.86,5.31,9.58,9.15,11.2,9.68,8.29,9.41,10.1,12.5
84,7.57,2.44,10.7,7.67,11.8,6.88,5.56,9.8,9.89,11.4,10.9,8.18,9.41,9.8,11.1
85,7.72,2.35,9.96,8.84,11.1,6.89,5.55,8.68,10.3,11.9,10.7,8.39,9.42,10,11.1
86,7.87,2.26,9.22,10.3,10.5,6.96,5.48,10.2,11,12.5,10.6,8.37,10.2,10.6,11.6
87,8.01,2.26,8.63,11.7,9.85,7.53,5.36,10,10.3,12.2,10.8,8.38,10.4,10.9,12.9
88,8.16,2.89,9.29,13.1,9.57,8.21,5.22,11.8,10.9,12.2,9.98,8.38,10.5,11.2,11.4
89,8.31,3.67,10.3,14.4,9.41,8.88,5.13,14.5,10.9,12.4,9.7,9.08,11.7,11.3,11.5
90,8.46,4.44,11.2,14.2,9.24,9.55,5.34,17.6,9.72,13.6,10.2,9.35,12.5,11.6,12.8
91,8.64,5.22,11.5,13.8,9.26,10.2,5.62,19,9.38,11.7,10.9,9.4,13.1,12.3,11.6
92,9.11,5.99,11.6,13.3,11.1,11.2,5.89,15.8,9.25,11.4,11.2,9.4,13.3,12.7,9.97
93,9.64,6.69,11.6,12.8,13.3,12,6.16,16.3,10.1,11.8,10.9,9.47,13.1,13.1,9.88
94,10.2,6.52,11.7,12.3,15.4,11.4,6.43,13.5,11.1,11.3,10.2,11.4,13.3,13.4,11.3
95,10.7,6.1,11.8,11.8,14.9,10.4,6.58,9.85,10.8,12.7,10.8,11.6,13.3,12.7,11
96,11.3,6.06,11.8,10.8,13.6,9.07,6.71,13.9,11,13.8,11,13.2,13.4,11.2,12.5
97,11.8,6.09,11.3,9.61,12.3,8.74,6.83,13.1,13.3,14.2,11.2,13.2,16.1,10.9,12.1
98,12.3,5.97,10.8,8.46,12.4,9.1,7.25,12.9,16.3,16.4,11.3,12.7,16.3,10.9,12.3
99,12.8,5.84,11.5,7.31,13,8.76,9.33,13.7,17.4,16.3,11.3,12.6,16.7,13.1,12.8
100,12.8,5.93,12.1,6.29,13.4,9.31,11.6,13.3,18.1,15.3,11.2,12.4,16.9,12.2,12.9
101,12.7,8.86,9.85,6.67,12.6,8.54,12,15.9,16.9,17.8,11.4,12.4,17.6,11.5,12.9
102,12.6,10.5,10.6,7.38,11.4,8.56,9.96,15.2,15.6,19.7,11.4,15.1,18,11.4,12.3
103,12.5,10.5,12.9,8.09,10.2,8.67,11.3,15.5,14,20.4,11.6,15.4,16.3,11.6,12.7
104,12.4,12.5,12.8,8.85,8.98,8.99,9.5,16,14.8,21.1,11,15.3,17.5,11.6,14
105,12.3,17.3,9.89,12.3,8.15,9.01,9.34,14.5,15,18.1,10.9,16.8,16.6,11.7,14.6
106,12.1,17.5,9.41,18.1,9.96,9.21,10.4,14.5,16,21.2,11.3,15.7,16.5,12,16.1
107,12,17.4,10.4,19.4,11,9.08,12.2,11.8,15.7,24.2,12.4,15.2,17.7,13.5,14.7
108,11.9,17.9,11.2,13.4,12.9,9.02,12.3,15.2,18.4,19.2,14.5,15.5,18.2,15.3,13.4
